id,level,sr_no,raw,kanji,hiragana,meaning,hint,sentence,supporting_word_1,supporting_word_2,page_no
904,N1,904,戸惑う＊,戸惑う,とまどう,"to be bewildered, to be perplexed",どうしたら良いのか分からず、困る,日本の生活に戸惑う。,日本の生活に,。(どうしたら良いのか分からず、困る),30.0
905,N1,905,富む,富む,とむ,"To be rich in, to be full of",財産がたくさんある、栄養がたくさんある,,,(財産がたくさんある、栄養がたくさんある),90.0
906,N1,906,共稼ぎ＊,共稼ぎ,ともかせぎ,(husband and wife) earning a living together​,,,,,148.0
907,N1,907,共働き＊,共働き,ともばたらき,"(husband and wife) both working, dual income",夫婦が共に働いている,,,(夫婦が共に働いている),148.0
908,N1,908,吃る,吃る,どもる,"to stammer, to stutter",緊張してどもっちゃった。,,,(緊張してどもっちゃった。),30.0
909,N1,909,トラウマ,トラウマ,トラウマ,trauma (usu. psychological),,,,,122.0
910,N1,910,取り敢えず＊,取り敢えず,とりあえず,"For now, temporarily",,,,,58.0
911,N1,911,取り急ぎ＊,取り急ぎ,とりいそぎ,"Hastily, for the time being",,,,,146.0
912,N1,912,取り囲む＊,取り囲む,とりかこむ,"To surround, encircle",,,,,126.0
913,N1,913,取り込む＊,取り込む,とりこむ,"to take in, to bring in, to introduce",,,,,128.0
914,N1,914,取り締まる＊,取り締まる,とりしまる,"To regulate, enforce",,,,,126.0
915,N1,915,取り調べる＊,取り調べる,とりしらべる,"To interrogate, investigate",,,,,126.0
916,N1,916,取り立てる＊,取り立てる,とりたてる,"To collect, demand",,,,,126.0
917,N1,917,取り次ぐ＊,取り次ぐ,とりつぐ,"to pass on (a message, thoughts, etc.), to convey",,,,,126.0
918,N1,918,取り引き＊,取り引き,とりひき,"Transaction, deal",,,,,126.0
919,N1,919,取り分＊,取り分,とりぶん,"Share, portion",,,,,84.0
920,N1,920,取り巻く＊,取り巻く,とりまく,"To surround, enclose",,,,,126.0
921,N1,921,取り混ぜる＊,取り混ぜる,とりまぜる,"To mix, blend",,,,,126.0
922,N1,922,取り戻す＊,取り戻す,とりもどす,"To regain, recover",,,,,126.0
923,N1,923,取り寄せる＊,取り寄せる,とりよせる,"To order, to send away for",,,,,126.0
924,N1,924,ドリル,ドリル,ドリル,"drill bit, drill",,,,,121.0
925,N1,925,取り分け＊,取り分け,とりわけ,"especially, particularly",特に,,,(特に),56.0
926,N1,926,蕩ける,蕩ける,とろける,"To melt, dissolve",熱で柔らかくなる、溶ける(水ー氷) ,チーズ、バターが蕩ける。,チーズ、バターが,。(熱で柔らかくなる、溶ける(水ー氷) ),32.0
927,N1,927,度忘れ＊,度忘れ,どわすれ,Forgetfulness,,,,,148.0
928,N1,928,内心,内心,ないしん,"Inner feelings, true thoughts",,,,,67.0
929,N1,929,ナイター,ナイター,ナイター,"game under lights (e.g. baseball), night game",,,,,133.0
930,N1,930,尚更,尚更,なおさら,"still more, even more, all the more",,,,,56.0
931,N1,931,長い目で見る＊,長い目で見る,ながいめでみる,"To take the long view, have a long-term perspective",,,,,142.0
932,N1,932,長々,長々,ながなが,"for a long time, at great length",,,,,51.0
933,N1,933,殴る,殴る,なぐる,"To strike, to hit, to punch",Punch,彼は怒っていて、壁に拳を殴る～ました。,彼は怒っていて、壁に拳を,～ました。(Punch),18.0
934,N1,934,嘆く,嘆く,なげく,"To lament, mourn",心を痛めて酷く悲しい気持ちになる,ペットの死、不合格を嘆く。,ペットの死、不合格を,。(心を痛めて酷く悲しい気持ちになる),30.0
935,N1,935,投げ出す＊,投げ出す,なげだす,"to throw down, to throw out",,,,,128.0
936,N1,936,和む,和む,なごむ,"To be softened, to calm down",落ち着く、トラックラスできる,①心が、この音楽を聞くと②寒さが和む①。②～で来た。,①心が、この音楽を聞くと②寒さが,①。②～で来た。(落ち着く、トラックラスできる),
937,N1,937,和やか(な),和やか,なごやか,"Gentle, harmonious",落ち着いている、平和な、穏やかな,①話し合いは和やか①に終わった。②な会話、彼、２人,①話し合いは,①に終わった。②な会話、彼、２人(落ち着いている、平和な、穏やかな),36.0
938,N1,938,情けない,情けない,なさけない,"Miserable, pitiable, shameful, deplorable",①恥ずかしい ②見っともない ③可哀想で見て居られない,注射で泣いて情けない。,注射で泣いて,。(①恥ずかしい ②見っともない ③可哀想で見て居られない),14.0
939,N1,939,情け深い＊,情け深い,なさけぶかい,"Compassionate, kind-hearted, sympathetic",,情け深い人が、捨てられた子猫を拾って育ててくれた。,,人が、捨てられた子猫を拾って育ててくれた。,12.0
940,N1,940,詰る,詰る,なじる,"to scold, to tell off, to find fault",相手の悪いところを言う,①先生は私にたくさんの質問を ②顔を詰る①～ました。②られた。,①先生は私にたくさんの質問を ②顔を,①～ました。②られた。(相手の悪いところを言う),18.0
941,N1,941,宥める,宥める,なだめる,To pacify or soothe,まあ、まあ、まあ、落ち着いて、Vaibhi の怒り,彼は友達の怒りを宥めるのが得意です。,彼は友達の怒りを,のが得意です。(まあ、まあ、まあ、落ち着いて、Vaibhi の怒り),18.0
942,N1,942,懐く,懐く,なつく,To become attached,慣れて、親しくなる,誰にでも懐く犬。,誰にでも,犬。(慣れて、親しくなる),18.0
943,N1,943,名付け親＊,名付け親,なづけおや,Godparent,,彼女は名付け親から受けた愛情に感謝しています。,彼女は,から受けた愛情に感謝しています。,19.0
944,N1,944,名付ける＊,名付ける,なづける,To name or christen,,AをB (名前) と名付ける。,AをB (名前) と,。,19.0
945,N1,945,何気ない＊,何気ない,なにげない,"Casual, nonchalant",なにも考えないで言ったこと,何気ない言葉に傷付く。,,言葉に傷付く。(なにも考えないで言ったこと),38.0
946,N1,946,何卒,何卒,なにとぞ,"please, kindly, I beg of you",何分(なにぶん),,,(何分(なにぶん)),146.0
947,N1,947,何もかも,何もかも,なにもかも,"Everything, all",,,,,138.0
948,N1,948,何より,何より,なにより,"Above all, more than anything",,,,,56.0
949,N1,949,生身,生身,なまみ,"Living flesh, human",,,,,84.0
950,N1,950,滑らか,滑らか,なめらか,"Smooth, polished",つるつる,滑らかな肌,,な肌(つるつる),36.0
951,N1,951,悩ます,悩ます,なやます,"To harass, to molest",,,,,90.0
952,N1,952,慣らす,慣らす,ならす,"To accustom, to train (e.g. One's ear)​",,,,,90.0
953,N1,953,成り立つ＊,成り立つ,なりたつ,"To be established, come into existence",,,,,130.0
954,N1,954,成る丈＊,成る丈,なるたけ,"as (much) as possible, as (much) as one can",,,,,58.0
955,N1,955,馴れ初め＊,馴れ初め,なれそめ,"start of a romance, beginning of love",,,,,148.0
956,N1,956,馴れ馴れしい,馴れ馴れしい,なれなれしい,"Overly familiar, too friendly",ソフさん,あの人は一度お茶を飲んだだけなのに、馴れ馴れしい態度をとる。,あの人は一度お茶を飲んだだけなのに、,態度をとる。(ソフさん),13.0
957,N1,957,何だ彼だ,何だ彼だ,なんだかんだ,"Somehow, in one way, another",,,,,138.0
958,N1,958,何て,何て,なんて,"how ...!, what ...!​",,,,,57.0
959,N1,959,何でもかんでも,何でもかんでも,なんでもかんでも,Anything and everything,,,,,138.0
960,N1,960,何と,何と,なんと,"what, how",,,,,57.0
961,N1,961,ナンパ,ナンパ,ナンパ,"playboy, picking up women",,,,,148.0
962,N1,962,似合い＊,似合い,にあい,"Suitability, compatibility",,,,,148.0
963,N1,963,ニート,ニート,ニート,"NEET (young person not in education, employment or training)",,,,,123.0
964,N1,964,似通う＊,似通う,にかよう,To resemble closely,,,,,91.0
965,N1,965,憎たらしい,憎たらしい,にくたらしい,"Hateful, detestable, abhorrent",憎いことは起きる,彼の行動は本当に憎たらしいです。,彼の行動は本当に,です。(憎いことは起きる),13.0
966,N1,966,逃げ出す＊,逃げ出す,にげだす,"To run away, to escape",,,,,128.0
967,N1,967,滲む,滲む,にじむ,"to spread, to blur",,,,,138.0
968,N1,968,日夜,日夜,にちや,"Day and night, constantly",,,,,72.0
969,N1,969,日中,日中,にっちゅう,"during the day, Japan and China​",,,,,72.0
970,N1,970,日当,日当,にちあて,"Daily allowance, per diem",,,,,79.0
971,N1,971,二度と～ない＊,二度と～ない,にどと～ない,Never again,これから絶対に〜ない,二度と～ない遅刻はしません。,,遅刻はしません。(これから絶対に〜ない),55.0
972,N1,972,鈍る,鈍る,にぶる,"To become dull, blunt",,,,,90.0
973,N1,973,入院,入院,にゅういん,To be hospitalized,する,部長の突然の入院で会社は混乱になってしまいました。,部長の突然の,で会社は混乱になってしまいました。(する),22.0
974,N1,974,入手,入手,にゅうしゅ,"Acquisition, obtaining",,,,,66.0
975,N1,975,妊娠,妊娠,にんしん,To become pregnant,する,彼女は妊娠中で、幸せそうです。,彼女は,中で、幸せそうです。(する),22.0
976,N1,976,認知症,認知症,にんちしょう,Dementia,Alzaimer is part of it,老齢に伴い、認知症のリスクが高まります。,老齢に伴い、,のリスクが高まります。(Alzaimer is part of it),23.0
977,N1,977,抜かす,抜かす,ぬかす,"To omit, to skip​, to overtake",,,,,90.0
978,N1,978,抜け出す＊,抜け出す,ぬけだす,"to break free, to get through (a difficult situation)",,,,,128.0
979,N1,979,音色,音色,ねいろ,Timber (Tone quality),,,,,76.0
980,N1,980,値打ち＊,値打ち,ねうち,"Price, value, dignity",,,,,94.0
981,N1,981,寝かす,寝かす,ねかす,To put to sleep,,母は子供たちを寝かす～えました。,母は子供たちを,～えました。,92.0
982,N1,982,寝かせる,寝かせる,ねかせる,"To let sit, lay to rest",,,,,92.0
983,N1,983,寝苦しい＊,寝苦しい,ねぐるしい,"Sleepless, unable to sleep",,暑くて寝苦しい。,暑くて,。,36.0
984,N1,984,猫の手も借りたい＊,猫の手も借りたい,ねこのてもかりたい,"Extremely busy, wanting even the help of a cat​",,,,,147.0
985,N1,985,捩れる,捩れる,ねじれる,"to get twisted, to get crooked",,,,,138.0
986,N1,986,ねた＊＊,ねた,ねた,"material (for a story, article, etc.), joke, proof",,,,,149.0
987,N1,987,妬む,妬む,ねたむ,"To envy, be jealous",だから嫌い、羨ましいでも嫌いの方で,彼女は他の成功者を妬む～でいる。,彼女は他の成功者を,～でいる。(だから嫌い、羨ましいでも嫌いの方で),18.0
988,N1,988,強請る＊,強請る,ねだる,"To beg, pester",Aが欲しいと言う、目下の人が目上の人に使う、同じレベル人,子供たちはお菓子、おもちゃを強請る～ました。,子供たちはお菓子、おもちゃを,～ました。(Aが欲しいと言う、目下の人が目上の人に使う、同じレベル人),18.0
989,N1,989,ネックになる＊,ネックになる,ネックになる,Becoming a problem,,,,,121.0
990,N1,990,熱中症,熱中症,ねっちゅうしょう,heatstroke,,熱中症にならないように水分をこまめに摂りましょう。,,にならないように水分をこまめに摂りましょう。,23.0
991,N1,991,粘り強い＊,粘り強い,ねばりづよい,"Tenacious, persevering, persistent",途中で切れない、柔らなくて伸ばす、最後まで頑張る,彼は粘り強い～く目標に向かって努力し続けました。,彼は,～く目標に向かって努力し続けました。(途中で切れない、柔らなくて伸ばす、最後まで頑張る),12.0
992,N1,992,根回し＊,根回し,ねまわし,"Laying the groundwork, behind-the-scenes maneuvering",,,,,84.0
993,N1,993,練る,練る,ねる,"To thicken into a paste (stirring over a flame)(knead), to polish (a plan, etc.)",,,,,90.0
994,N1,994,を上げる＊,を上げる,をあげる,"To raise, elevate",,,,,115.0
995,N1,995,念入り＊,念入り,ねんいり,"Careful, thorough",細かいところまでしっかり注意する、大雑把な,②彼女は家に来るので念入り①に化粧する②に掃除する。,②彼女は家に来るので,①に化粧する②に掃除する。(細かいところまでしっかり注意する、大雑把な),39.0
996,N1,996,捻挫,捻挫,ねんざ,Sprain,link with 捻る,足首を捻挫したので、安静にしてください。,足首を,したので、安静にしてください。(link with 捻る),
997,N1,997,ノイローゼ,ノイローゼ,ノイローゼ,"neurosis, nervous breakdown, mental problem",,,,,133.0
998,N1,998,逃す,逃す,のがす,"To miss (e.g. A chance), to lose, to let get away",(逃げさせた人、嫌な物から逃げる) 嫌な事を忘れよ！,チャンスを逃す～た。,チャンスを,～た。((逃げさせた人、嫌な物から逃げる) 嫌な事を忘れよ！),21.0
999,N1,999,逃れる,逃れる,のがれる,To escape or avoid,,彼女は事故から逃れることができました。,彼女は事故から,ことができました。,21.0
1000,N1,1000,軒並み＊,軒並み,のきなみ,"Across the board, universally",,,,,94.0
1001,N1,1001,残らず,残らず,のこらず,"Without exception, entirely",,,,,57.0
1002,N1,1002,望ましい,望ましい,のぞましい,"hoped for, preferable",Aであって欲しい,①バランスがいい食事するのが ②この仕事は経験があると③面接にはスーツが望ましい。,①バランスがいい食事するのが ②この仕事は経験があると③面接にはスーツが,。(Aであって欲しい),14.0
1003,N1,1003,乗っ取る＊,乗っ取る,のっとる,"To take over, hijack",,,,,130.0
1004,N1,1004,長閑(な),長閑,のどか,"tranquil, calm, quiet",静かでのんびりしている感じ、田舎,長閑な風景,,な風景(静かでのんびりしている感じ、田舎),36.0
1005,N1,1005,喉から手が出る＊,喉から手が出る,のどからてがでる,"To be in high demand, coveted",,,,,147.0
1006,N1,1006,罵る,罵る,ののしる,To scold or abuse verbally,あなたは悪いんだと、給料泥棒,彼は部下を罵る～ましたが、後で謝りました。,彼は部下を,～ましたが、後で謝りました。(あなたは悪いんだと、給料泥棒),18.0
1007,N1,1007,飲み込む＊,飲み込む,のみこむ,"To swallow, absorb",,,,,128.0
1008,N1,1008,飲み放題＊,飲み放題,のみほうだい,All-you-can-drink,,,,,148.0
1009,N1,1009,乗り込む＊,乗り込む,のりこむ,"to board, to embark on, to get into (a car)",,,,,128.0
1010,N1,1010,ノルマ,ノルマ,ノルマ,"(one's) quota, assignment​",,,,,122.0
1011,N1,1011,バージョンアップ,バージョンアップ,バージョンアップ,"(software) update, upgrade (to a new version)​",,,,,124.0
1012,N1,1012,肺炎,肺炎,はいえん,Pneumonia,,,,,23.0
1013,N1,1013,バイオ,バイオ,バイオ,"bio-, biotechnology",,,,,120.0
1014,N1,1014,ハイテク(な),ハイテク,ハイテク,high-tech,,,,,120.0
1015,N1,1015,ハイネック,ハイネック,ハイネック,high-necked,,,,,121.0
1016,N1,1016,売買,売買,ばいばい,"Trade, buying and selling",,,,,73.0
1017,N1,1017,映える,映える,はえる,"To shine, stand out",,,,,92.0
1018,N1,1018,捗る,捗る,はかどる,"To make progress, go smoothly",順調を進む,仕事、勉強が捗る。,仕事、勉強が,。(順調を進む),32.0
1019,N1,1019,儚い,儚い,はかない,"transient, short-lived, momentary",消えやすい、すぐに消えてしまう,②愛は儚い①夢だった。②ものだ。,②愛は,①夢だった。②ものだ。(消えやすい、すぐに消えてしまう),38.0
1020,N1,1020,馬鹿馬鹿しい,馬鹿馬鹿しい,ばかばかしい,"Absurd, ridiculous, nonsensical",,その冗談は馬鹿馬鹿しいです。,その冗談は,です。,14.0
1021,N1,1021,剥ぐ,剥ぐ,はぐ,"to tear off, to peel off",外にある(皮)ものを取る,,,(外にある(皮)ものを取る),32.0
1022,N1,1022,励ます,励ます,はげます,To encourage or cheer up,元気をつけてあげる、応援する,友人は私を励ます～てくれました。,友人は私を,～てくれました。(元気をつけてあげる、応援する),18.0
1023,N1,1023,剥げる,剥げる,はげる,"to peel off, to come off",,①壁のペンキが②古い本の表紙が剥げる①～てきた。②～ている。,①壁のペンキが②古い本の表紙が,①～てきた。②～ている。,32.0
1024,N1,1024,化ける,化ける,ばける,"To take the form of (esp. In ref. To a spirit, fox, raccoon dog, etc.)",,,,,34.0
1025,N1,1025,麻疹,麻疹,はしか,Measles,,麻疹の予防接種は非常に重要です。,,の予防接種は非常に重要です。,25.0
1026,N1,1026,弾く,弾く,はじく,"To pluck, play a musical instrument",防水加工、防水この、力で飛ばす,,,(防水加工、防水この、力で飛ばす),32.0
1027,N1,1027,恥じらう,恥じらう,はじらう,"To be shy, bashful",恥ずかしい気持ちになる,,,(恥ずかしい気持ちになる),91.0
1028,N1,1028,恥を掻く＊,恥を掻く,はじをかく,"To feel embarrassed or ashamed, to lose face",恥ずかしい気持ちになる,彼は恥を掻く～ないようによく注意します。,彼は,～ないようによく注意します。(恥ずかしい気持ちになる),15.0
1029,N1,1029,叩く②,叩く,はたく,"To strike, to hit, to beat (often with hands or an object)",誇りを取る,誇り、布団を叩く。,誇り、布団を,。(誇りを取る),16.0
1030,N1,1030,果たす,果たす,はたす,"To accomplish, to achieve, to carry out",,,,,90.0
1031,N1,1031,バツイチ,バツイチ,バツイチ,"x (mark), cross",,,,,148.0
1032,N1,1032,発足,発足,はっそく,"Inauguration, establishment",,,,,76.0
1033,N1,1033,発達障害,発達障害,はったつしょうがい,Developmental disorder,頭の問題,発達障害の子供たちに専門的なサポートが必要です。,,の子供たちに専門的なサポートが必要です。(頭の問題),25.0
1034,N1,1034,はっと＊＊,はっと,はっと,Sudden,あああ、びっくりした,①物音にはっと②気がつく①する。,①物音に,②気がつく①する。(あああ、びっくりした),53.0
1035,N1,1035,初耳,初耳,はつみみ,Something heard for the first time,,,,,94.0
1036,N1,1036,果てしない,果てしない,はてしない,"Endless, infinite",,,,,40.0
1037,N1,1037,バテる＊＊,バテる,ばてる,"to be exhausted, to be worn out​",夏バテ、働けなくてなるぐらい疲れる、全部使っちゃう,,,(夏バテ、働けなくてなるぐらい疲れる、全部使っちゃう),30.0
1038,N1,1038,パトカー,パトカー,パトカー,Patrol car or police car,,,,,133.0
1039,N1,1039,バトンタッチ,バトンタッチ,バトンタッチ,"passing the baton (in a relay race), baton pass","Wasei, word made in Japan, From English “baton touch”",,,"(Wasei, word made in Japan, From English “baton touch”)",121.0
1040,N1,1040,鼻が高い＊,鼻が高い,はながたかい,"To be proud, conceited",,,,,143.0
1041,N1,1041,放つ,放つ,はなつ,"To fire (gun, arrow, questions, etc.), to shoot, to hit (e.g. Baseball)",,,,,91.0
1042,N1,1042,鼻に掛ける＊,鼻に掛ける,はなにかける,"To take pride in, set one's heart on",,,,,143.0
1043,N1,1043,鼻に付く＊,鼻に付く,はなにつく,"To be fed up with, annoyed by",,,,,143.0
1044,N1,1044,甚だ,甚だ,はなはだ,"Very, extremely","= 名詞, い形ようし",甚だ迷惑だ。,,"迷惑だ。(= 名詞, い形ようし)",49.0
1045,N1,1045,甚だしい,甚だしい,はなはだしい,"Excessive, extreme",,勘違いが甚だしい。,勘違いが,。,40.0
1046,N1,1046,華々しい,華々しい,はなばなしい,"Splendid, brilliant",花がたくさんあるような、お金、賞全部で豊かな人,,,(花がたくさんあるような、お金、賞全部で豊かな人),36.0
1047,N1,1047,羽を伸ばす＊,羽を伸ばす,はねをのばす,"To stretch one's wings, relax",,,,,115.0
1048,N1,1048,阻む,阻む,はばむ,To obstruct or hinder,邪魔をする,Aチームの連勝を阻む～だのはBチームだ。,Aチームの連勝を,～だのはBチームだ。(邪魔をする),20.0
1049,N1,1049,バブル,バブル,バブル,"bubble, bubble economy",,バブル経済,,経済,123.0
1050,N1,1050,嵌まる,嵌まる,はまる,"To be fitted, caught",①穴のような所に落ちる ②ちょうど入る ③習慣になった/ 決まったやり方で行う、個性がない ④夢中になる,①池に②机の引き出しが③型に④君に嵌まる①②～ない。③～た挨拶 (意見)、自己紹介④。,①池に②机の引き出しが③型に④君に,①②～ない。③～た挨拶 (意見)、自己紹介④。(①穴のような所に落ちる ②ちょうど入る ③習慣になった/ 決まったやり方で行う、個性がない ④夢中になる),34.0
1051,N1,1051,生やす,生やす,はやす,To grow or cultivate,Aが生える。髭、芽、歯が,①髭を②木が 根を生やす。,①髭を②木が 根を,。(Aが生える。髭、芽、歯が),20.0
1052,N1,1052,早まる,早まる,はやまる,To become early or hasty,早くなる,予定より早まることはありませんでした。,予定より,ことはありませんでした。(早くなる),22.0
1053,N1,1053,早める,早める,はやめる,"To bring forward (e.g. By 3 hours), to advance",早くする,①朝の起床時間を ②彼は出発を早める①②必要があると思っています。,①朝の起床時間を ②彼は出発を,①②必要があると思っています。(早くする),22.0
1054,N1,1054,ばらす＊＊,ばらす,ばらす,"to expose (a secret), to disclose",秘密を知らせる、マイナスの意味で,パズルのピースをばらす～てから再度組み立てました。,パズルのピースを,～てから再度組み立てました。(秘密を知らせる、マイナスの意味で),18.0
1055,N1,1055,はらはら＊＊,はらはら,はらはら,"to feel anxious, to feel nervous",心配で落ち着かない、①他の人の危ない様子を見て心配する様子 ②軽いもの静かに出ている,元彼女を思い出してはらはら泣いている。,元彼女を思い出して,泣いている。(心配で落ち着かない、①他の人の危ない様子を見て心配する様子 ②軽いもの静かに出ている),50.0
1056,N1,1056,ばらばら＊＊,ばらばら,ばらばら,"scattered, disperse, loose",一つに纏まらない,,,(一つに纏まらない),48.0
1057,N1,1057,ばら撒く,ばら撒く,ばらまく,To scatter or spread,バラバラに撒く,子供たちは花びらを庭にばら撒く～ました。,子供たちは花びらを庭に,～ました。(バラバラに撒く),20.0
1058,N1,1058,張り,張り,はり,"stretch, tension",,張りのある肌,,のある肌,149.0
1059,N1,1059,バリアフリー,バリアフリー,バリアフリー,barrier-free,planned or designed to facilitate accessibility for the elderly and disabled,,,(planned or designed to facilitate accessibility for the elderly and disabled),123.0
1060,N1,1060,腫れる,腫れる,はれる,To swell,皮膚が厚くする,怪我の後、手首は腫れる～ました。,怪我の後、手首は,～ました。(皮膚が厚くする),
1061,N1,1061,ばれる＊＊,ばれる,ばれる,"to leak out (of a secret), to be exposed (of a lie, improper behaviour, etc.)",,,,,34.0
1062,N1,1062,パワハラ,パワハラ,パワハラ,power harassment​,harassment (in the workplace) from a position of power,,,(harassment (in the workplace) from a position of power),120.0
1063,N1,1063,ハンデ,ハンデ,ハンデ,handicap,ハンディキャップ,,,(ハンディキャップ),120.0
1064,N1,1064,万人,万人,ばんにん,"Everyone, all people",,,,,70.0
1065,N1,1065,半端,半端,はんぱ,"Incomplete, half",,,,,40.0
1066,N1,1066,延いては,延いては,ひいては,"by extension, in turn, by the same token",,,,,58.0
1067,N1,1067,控え室＊,控え室,ひかえしつ,Waiting room,,医師の診察を待つ間、控え室で本を読みました。,医師の診察を待つ間、,で本を読みました。,20.0
1068,N1,1068,控える,控える,ひかえる,To refrain or wait,①用事の順番が来るまで待つ ②止める、量を減らす (yamato dining hall),①隣の教室で②アルコル、私語を控える。①、控え室 ,①隣の教室で②アルコル、私語を,。①、控え室 (①用事の順番が来るまで待つ ②止める、量を減らす (yamato dining hall)),20.0
1069,N1,1069,引き起こす＊,引き起こす,ひきおこす,"To cause, bring about",,,,,126.0
1070,N1,1070,引き下げる＊,引き下げる,ひきさげる,"To lower, reduce",,,,,126.0
1071,N1,1071,引きずる,引きずる,ひきずる,"To drag, pull",地面につくように歩く、荷物を持つ,,,(地面につくように歩く、荷物を持つ),33.0
1072,N1,1072,引き立てる＊,引き立てる,ひきたてる,"To promote, support",,,,,126.0
1073,N1,1073,引き継ぐ＊,引き継ぐ,ひきつぐ,"To inherit, take over",,,,,126.0
1074,N1,1074,引き分け＊,引き分け,ひきわけ,"A draw (in a game, contest)",,,,,148.0
1075,N1,1075,見ごろ,見ごろ,みごろ,"Best time to see, peak time",,,,,72.0
1076,N1,1076,日差し＊,日差し,ひざし,"sunlight, rays of the Sun",,今日は日差しが強いですね。 ,今日は,が強いですね。 ,88.0
1077,N1,1077,久しい,久しい,ひさしい,"Long (time that has passed), old (story)",,,,,38.0
1078,N1,1078,歪み,歪み,ひずみ,"strain, deformation",,,,,149.0
1079,N1,1079,密か,密か,ひそか,"Secret, hidden",内緒にしている,密か①な楽しみ②に出かける。,,①な楽しみ②に出かける。(内緒にしている),39.0
1080,N1,1080,只管,只管,ひたすら,"intently, single-mindedly, devotedly",,,,,56.0
1081,N1,1081,左利き＊,左利き,ひだりきき,Left-handed,,,,,88.0
1082,N1,1082,ぴたり＊＊,ぴたり,ぴたり,"①tightly, closely​ ②exactly",ぴったり,②ぴたりと言い当てる。,②,と言い当てる。(ぴったり),53.0
1083,N1,1083,引っ掻く＊,引っ掻く,ひっかく,To scratch,,猫は私に引っ掻く。,猫は私に,。,22.0
1084,N1,1084,引っ込む＊,引っ込む,ひっこむ,"To withdraw, retract",,,,,128.0
1085,N1,1085,びっしょり(な)＊＊,びっしょり,びっしょり,"wet through, drenched",特に全身が雨などで濡れている様子,運動して汗びっしょりになった。,運動して汗,になった。(特に全身が雨などで濡れている様子),52.0
1086,N1,1086,一息,一息,ひといき,one breath,,,,,140.0
1087,N1,1087,人柄,人柄,ひとがら,"Personality, character",,,,,89.0
1088,N1,1088,一苦労,一苦労,ひとくろう,"A hard time, trouble",,,,,140.0
1089,N1,1089,人気,人気,ひとけ,"sign of life, human presence",にんき,人気がない,,がない(にんき),68.0
1090,N1,1090,一頃,一頃,ひところ,"Once upon a time, in the past",,,,,140.0
1091,N1,1091,一筋,一筋,ひとすじ,"One's sole focus, single-mindedly",,,,,140.0
1092,N1,1092,人違い＊,人違い,ひとちがい,Mistaking one person for another,,,,,148.0
1093,N1,1093,人並み＊,人並み,ひとなみ,"Average, ordinary",,,,,94.0
1094,N1,1094,一眠り＊,一眠り,ひとねむり,A short nap,,,,,140.0
1095,N1,1095,人任せ＊,人任せ,ひとまかせ,"Leaving it to others, relying on others",,,,,94.0
1096,N1,1096,人見知り＊,人見知り,ひとみしり,To be shy or have social anxiety,初めに会った人と話さない。,彼女は初対面の人に人見知りします。,彼女は初対面の人に,します。(初めに会った人と話さない。),19.0
1097,N1,1097,人目,人目,ひとめ,"Public attention, notice",,,,,70.0
1098,N1,1098,一目惚れ＊,一目惚れ,ひとめぼれ,Love at first sight,,彼女に一目惚れした瞬間、僕の人生が変わった。,彼女に,した瞬間、僕の人生が変わった。,148.0
1099,N1,1099,一休み＊,一休み,ひとやすみ,"A short break, rest",,,,,140.0
1100,N1,1100,日取り＊,日取り,ひどり,"Date, day",,,,,84.0
1101,N1,1101,日向,日向,ひなた,"Sunny place, sunshine",,,,,79.0
1102,N1,1102,日々,日々,ひび,"Day by day, every day",,,,,72.0
1103,N1,1103,罅+,罅,ひび,"Crack, fissure",,,,,139.0
1104,N1,1104,皮膚,皮膚,ひふ,Skin,,皮膚が日光にさらされると日焼けします。,,が日光にさらされると日焼けします。,22.0
1105,N1,1105,皮膚炎,皮膚炎,ひふえん,Dermatitis or skin inflammation,皮膚が痒くなる,皮膚炎の症状はかゆみと赤みを伴います。,,の症状はかゆみと赤みを伴います。(皮膚が痒くなる),23.0
1106,N1,1106,冷やかす,冷やかす,ひやかす,"To banter, to make fun of",相手を困るようなことを言う,彼は友達を冷やかすのが好きです。,彼は友達を,のが好きです。(相手を困るようなことを言う),18.0
1107,N1,1107,ひょっとして＊＊,ひょっとして,ひょっとして,"by any chance, (should) it happen (that)",,,,,59.0
1108,N1,1108,ひょっとすると＊＊,ひょっとすると,ひょっとすると,"perhaps, maybe",,,,,59.0
1109,N1,1109,平たい,平たい,ひらたい,"Flat, level",厚みが無く平らな,,,(厚みが無く平らな),38.0
1110,N1,1110,ひらひら＊＊,ひらひら,ひらひら,"flapping, waving​",舞うは移動しているでもひらひらは動かす、軽くて薄いもの,ひらひらしている桜、スカート,,している桜、スカート(舞うは移動しているでもひらひらは動かす、軽くて薄いもの),48.0
1111,N1,1111,びり＊＊,びり,びり,"last (on the list), (at the) bottom",,,,,148.0
1112,N1,1112,疲労,疲労,ひろう,"Exhaustion, fatigue",体を使って疲れる,①貧血の症状は疲れやすさと ②空腹と疲労で目眩がした。,①貧血の症状は疲れやすさと ②空腹と,で目眩がした。(体を使って疲れる),22.0
1113,N1,1113,ピンからキリまで＊＊,ピンからキリまで,ピンからキリまで,"from the best to the worst, from top to bottom",,,,,146.0
1114,N1,1114,貧血,貧血,ひんけつ,anemia,,①貧血の症状は疲れやすさと ②空腹と疲労で目眩がした。,①,の症状は疲れやすさと ②空腹と疲労で目眩がした。,22.0
